"time,servertime,latitude,longitude,""HDT - Heading True"",""SOG - Speed over Ground"",""COG - Course over Ground"",Heel,""Trim Fore / Aft"",""GPS Satellites"",""GPS HAcc"",""Battery Charge"",""Battery 1 Voltage"",""Battery 1 Current"",""Battery 1 Temperature"""
"2024-06-15 12:17:16.599,""2024-06-15 12:17:21.286"",47.668235,8.984735,295.82,0.01561153,295.82,-0.76,-0.32,16,0.6118,64,3.898,-0.3589,-246.1"
"2024-06-15 12:17:17.599,""2024-06-15 12:17:21.286"",47.668236,8.984735,295.82,0.02305371,295.82,-0.75,-0.33,16,0.6069,64,3.896,-0.3589,-246.1"
"2024-06-15 12:17:18.599,""2024-06-15 12:17:21.286"",47.668236,8.984735,295.82,0.01867217,295.82,-0.77,-0.33,16,0.6016,64,3.896,-0.365,-246.1"
"2024-06-15 12:17:19.599,""2024-06-15 12:17:21.286"",47.668235,8.984735,295.82,0.01971957,295.82,-0.79,-0.31,16,0.5967,64,3.896,-0.375,-246.1"
"2024-06-15 12:17:20.599,""2024-06-15 12:17:21.185"",47.668235,8.984735,295.82,0.01647327,295.82,-0.79,-0.3,16,0.5928,64,3.896,-0.3818,-246.1"
"2024-06-15 12:17:21.599,""2024-06-15 12:17:21.988"",47.668236,8.984735,295.82,0.01816688,295.82,-0.78,-0.33,16,0.5898,64,3.895,-0.396,-246.1"
"2024-06-15 12:17:22.599,""2024-06-15 12:17:22.852"",47.668235,8.984735,295.82,0.01297658,295.82,-0.76,-0.31,16,0.5869,64,3.895,-0.4248,-246.1"
"2024-06-15 12:17:23.599,""2024-06-15 12:17:24.075"",47.668235,8.984735,295.82,0.01125106,295.82,-0.78,-0.34,16,0.584,64,3.895,-0.4468,-246.1"
"2024-06-15 12:17:24.599,""2024-06-15 12:17:25.805"",47.668235,8.984735,295.82,0.0193655,295.82,-0.77,-0.33,15,0.5806,64,3.895,-0.4548,-245.1"
"2024-06-15 12:17:25.599,""2024-06-15 12:17:25.85"",47.668235,8.984736,295.82,0.01531705,295.82,-0.77,-0.32,15,0.5786,64,3.893,-0.4519,-245.1"
"2024-06-15 12:17:26.599,""2024-06-15 12:17:27.336"",47.668235,8.984736,295.82,0.02123933,295.82,-0.78,-0.34,15,0.5757,64,3.893,-0.448,-245.1"
"2024-06-15 12:17:27.599,""2024-06-15 12:17:28.081"",47.668235,8.984736,295.82,0.01336927,295.82,-0.79,-0.36,15,0.5728,64,3.893,-0.4448,-245.1"
"2024-06-15 12:17:28.599,""2024-06-15 12:17:29.005"",47.668235,8.984736,295.82,0.02169658,295.82,-0.78,-0.35,15,0.5708,64,3.893,-0.4409,-245.1"
