servertime;latitude;longitude;"""HDT - Heading True""";SOG in m/s;SOG in Knoten;"""COG - Course over Ground""";Heel;"""Trim Fore / Aft""";"""GPS Satellites""";"""GPS HAcc""";"""Battery Charge""";"""Battery 1 Voltage""";"""Battery 1 Current""";"""Battery 1 Temperature""";;;;;
"""2024-04-14 11:48:46.185""";47.66007;8.955683;326.04;3.497869;6.974750786;1.22;83.49;20.57;16;0.626;90;4.109;-0.3298;-237.1;;;;;
"""2024-04-14 13:09:47.536""";47.659529;8.951308;333.42;5.16517;10.29934898;1.22;87.66;13.34;16;0.3318;77;4.004;-0.428;-232.1;;;;;
"""2024-04-14 12:07:35.563""";47.665;8.96402;326.97;5.199054;10.36691368;1.23;81.28;21.69;16;0.5469;89;4.098;-0.3579;-234.1;;;;;
"""2024-04-14 11:09:07.106""";47.664345;8.976684;1.27;0.316259;0.630620446;1.27;132.62;-9.7;14;2.322;96;4.164;-0.314;-239.1;;;;;
"""2024-04-14 11:09:11.094""";47.664344;8.976686;1.9;0.09020108;0.179860954;1.27;134.53;-6.59;14;1.909;96;4.164;-0.3118;-239.1;;;;;
"""2024-04-14 12:07:36.228""";47.66544;8.96645;326.95;6.00865;11.9812481;1.27;82.98;20.24;16;0.6035;89;4.094;-0.3699;-234.1;;;;;
"""2024-04-14 12:33:19.23""";47.664238;8.963095;331.9;3.971976;7.920120144;1.27;86.62;22.56;16;0.3149;83;4.051;-0.3179;-232.1;;;;;
"""2024-04-14 13:53:12.089""";47.66606;8.962653;339.72;5.340371;10.64869977;1.29;86.71;9.68;15;0.646;71;3.949;-0.3838;-232.1;;;;;
"""2024-04-14 13:38:09.1""";47.666297;8.969884;335.32;5.347069;10.66205559;1.3;88.23;9.69;16;0.4639;73;3.967;-0.3699;-231.1;;;;;
"""2024-04-14 13:17:29.51""";47.66534;8.966179;336.39;5.609256;11.18485646;1.31;91.66;16.57;16;0.3738;76;3.994;-0.4148;-230.1;;;;;
"""2024-04-14 12:07:36.614""";47.666297;8.968712;330.5;5.974961;11.91407223;1.33;82.4;20.09;16;0.5869;89;4.094;-0.3589;-234.1;;;;;
